userid,newsid,taskid,topic,topic_pref,equality,imp_position,viewport_time,dwell_time,read_ratio,read_speed,direction_change_times,pre_pref,read_pref,post_pref
28,99,8,历史,2,0,1,13961.0,34.0,0.850948509485,203.176470588,12.0,3.0,2.0,2.0
28,7,8,科技,2,1,2,16882.0,,,,,,,3.0
28,129,8,历史,2,1,3,20818.0,,,,,,,1.0
28,201,8,历史,2,1,4,10468.0,,,,,,,2.0
28,48,8,社会,4,1,5,17070.0,82.0,0.673326133909,30.4146341463,10.0,4.0,4.0,3.0
28,217,8,体育,2,1,6,18058.0,,,,,,,1.0
28,163,8,娱乐,3,1,7,17776.0,329.0,0.956471688611,80.8145896657,87.0,4.0,5.0,5.0
28,138,8,娱乐,3,1,8,12626.0,,,,,,,2.0
28,70,8,社会,4,0,9,22122.0,79.0,0.744564070087,44.6455696203,8.0,5.0,3.0,2.0
28,132,8,科技,2,1,10,20816.0,,,,,,,2.0
28,147,8,娱乐,3,1,11,10052.0,,,,,,,3.0
28,233,8,体育,2,1,12,21850.0,,,,,,,1.0
28,124,8,历史,2,1,13,24515.0,144.0,0.803507632348,34.3611111111,10.0,4.0,4.0,3.0
28,190,8,社会,4,1,14,20265.0,,,,,,,1.0
28,97,8,体育,2,0,15,4055.0,,,,,,,1.0
28,73,7,社会,4,0,1,2122.0,18.0,0.590247206231,96.8333333333,14.0,4.0,4.0,3.0
28,3,7,娱乐,3,0,2,2256.0,75.0,0.729367031984,43.48,17.0,4.0,4.0,4.0
28,29,7,科技,2,0,3,8072.0,,,,,,,3.0
28,98,7,娱乐,3,1,4,15145.0,,,,,,,2.0
28,60,7,历史,2,1,5,15223.0,,,,,,,1.0
28,243,7,历史,2,0,6,12140.0,43.0,0.709344222916,68.6744186047,12.0,4.0,4.0,3.0
28,140,7,体育,2,1,7,16228.0,,,,,,,2.0
28,69,7,科技,2,1,8,16423.0,,,,,,,2.0
28,104,7,历史,2,0,9,19209.0,,,,,,,1.0
28,9,7,体育,2,1,10,17265.0,,,,,,,3.0
28,21,7,历史,2,0,11,25669.0,,,,,,,1.0
28,67,7,社会,4,1,12,16710.0,154.0,0.913484913485,82.961038961,24.0,4.0,4.0,3.0
28,166,7,娱乐,3,0,13,17271.0,51.0,0.656640181612,45.3725490196,12.0,5.0,4.0,4.0
28,173,7,体育,2,0,14,5825.0,,,,,,,1.0
28,93,7,科技,2,0,15,2413.0,62.0,0.73164781548,53.2096774194,16.0,4.0,4.0,2.0
28,196,9,社会,4,1,1,4861.0,114.0,0.872497365648,72.6315789474,2.0,4.0,4.0,3.0
28,42,9,历史,2,1,2,5051.0,,,,,,,1.0
28,202,9,体育,2,1,3,5326.0,,,,,,,1.0
28,191,9,社会,4,1,4,4847.0,,,,,,,1.0
